File_name, Nb_evac_nodes, Graph_length, Borne_Inf, Execution_time
dense_10_30_3_1_I, 10, 126, 91, 0.008976221084594727
dense_10_30_3_2_I, 10, 140, 120, 0.021477699279785156
dense_10_30_3_3_I, 10, 120, 106, 0.018949270248413086
dense_10_30_3_4_I, 10, 81, 124, 0.007976055145263672
dense_10_30_3_5_I, 10, 102, 117, 0.015954017639160156
dense_10_30_3_6_I, 10, 113, 126, 0.011966466903686523
dense_10_30_3_7_I, 10, 54, 104, 0.003009796142578125
dense_10_30_3_8_I, 10, 95, 105, 0.007961511611938477
dense_10_30_3_9_I, 10, 88, 98, 0.011966705322265625
dense_10_30_3_10_I, 10, 96, 101, 0.007977962493896484
medium_10_30_3_1_I, 10, 131, 106, 0.010973453521728516
medium_10_30_3_2_I, 10, 95, 96, 0.005956411361694336
medium_10_30_3_3_I, 10, 66, 114, 0.003989219665527344
medium_10_30_3_4_I, 10, 71, 129, 0.0059545040130615234
medium_10_30_3_5_I, 10, 89, 124, 0.004986286163330078
medium_10_30_3_6_I, 10, 91, 138, 0.007976770401000977
medium_10_30_3_7_I, 10, 65, 103, 0.004987955093383789
medium_10_30_3_8_I, 10, 101, 96, 0.0050160884857177734
medium_10_30_3_9_I, 10, 94, 111, 0.006012678146362305
medium_10_30_3_10_I, 10, 91, 98, 0.006025075912475586
sparse_10_30_3_1_I, 10, 85, 111, 0.004038572311401367
sparse_10_30_3_2_I, 10, 71, 108, 0.003972053527832031
sparse_10_30_3_3_I, 10, 80, 110, 0.003987550735473633
sparse_10_30_3_4_I, 10, 79, 128, 0.005964040756225586
sparse_10_30_3_5_I, 10, 79, 131, 0.005983591079711914
sparse_10_30_3_6_I, 10, 66, 108, 0.009973526000976562
sparse_10_30_3_7_I, 10, 54, 121, 0.008980512619018555
sparse_10_30_3_8_I, 10, 67, 107, 0.004016399383544922
sparse_10_30_3_9_I, 10, 83, 111, 0.0039899349212646484
sparse_10_30_3_10_I, 10, 50, 100, 0.001993417739868164
